Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.416299583,-0.9075627136,9.218879242,-0.5303471375,9.278613724
6.426275583,-0.5917195129,9.184899902,-0.7441026306,9.233970269
6.436251583,0.02230361938,9.299411774,-0.6623725891,9.322998136
6.446227583,0.5786965942,9.424701233,-0.6881190491,9.467491268
6.456203583,0.9147477722,9.385782166,-0.6586303711,9.453225075
6.466178583,1.086740112,9.232351227,-0.540226593,9.311775235
6.476154583,1.306034088,9.086105347,-0.5158273315,9.193971571
6.486130583,1.548529816,8.877588959,-0.9666897583,9.063333791
6.496106583,1.787283325,8.647966461,-1.370400238,8.936425595
6.506082583,1.976639557,8.63988327,-1.531764679,8.994497757
6.516058583,2.067650299,8.774303741,-1.442550201,9.129322811
6.526033583,1.432820435,8.978928223,-1.040486298,9.151870747
6.536009583,-0.02005828857,9.170679474,-0.6384223938,9.192896578
6.545985583,-0.7828720093,9.483379211,-0.610430603,9.53519771
6.555961583,-1.20514389,9.914333038,-0.3282673645,9.992703881
6.565937583,-1.668879547,10.20428009,0.07394622803,10.34011408
6.575913583,-2.111060028,10.3143013,0.3436853027,10.53373179
6.585888583,-2.486179962,10.34364029,0.2276765442,10.6406683
6.595864583,-2.81055542,10.31145721,0.01571731567,10.68763859
6.605840583,-3.018922119,10.16595978,0.1097218323,10.60531319
6.615816583,-3.068469086,9.915829926,0.2098635864,10.38187018
6.625792583,-3.004252625,9.601932678,0.3385958862,10.06664255
6.635768583,-2.665057983,9.590556335,0.4378395081,9.96358411
6.645743583,-2.449805603,9.63097229,0.4869374084,9.949587066
6.655719583,-2.463277588,9.547595673,0.6574328613,9.882132238
6.665695583,-2.374811554,9.68710556,0.9979747009,10.02375666
6.675671583,-2.217189331,10.15997223,0.9451345825,10.44194635
6.685647583,-2.168989563,10.90287735,0.7235952759,11.14005567
6.695623583,-2.484533386,11.80415314,0.7191046143,12.08420659
6.705598583,-2.951861572,12.45978973,0.8469387817,12.83265959
